Claim Number;Loss Description;Claim Create Time;AI Loss Cause;AI Damaged Items;AI Place of Occurrence;AI Triage;AI Triage Reasoning;AI Prevailing Document;AI Section/Page Document;AI Coverage (applicable);AI Limit (applicable);AI Reasoning;AI Claim Prediction
HO10021784;Water Damage due to Plumbing System: Garnaik rental apartment is leaking water from upstairs master bathroom down into living room ceiling fan what all damage unknown;2023-04-07T18:50:20.858000;water damage due to plumbing system;ceiling fan;living room ceiling fan;TRUE;The claim states that water is leaking from the upstairs master bathroom into the living room, impacting the ceiling fan. This clearly identifies both the source of the water damage and the affected area. Although it notes that the extent of the damage is 'unknown,' the essential components for processing the claim are present: a defined source of water and a specified location of the damage exemplified by the ceiling fan. This clarity allows for the claim to proceed.;Homeowner-6-Unit-Owners-Form_HO0006_201105.pdf, Unit-Owners-Coverage-A_HO1732_201702.pdf;Homeowner-6-Unit-Owners-Form_HO0006_201105.pdf - page 9, Unit-Owners-Coverage-A_HO1732_201702.pdf - page 4, Unit-Owners-Coverage-A_HO1732_201702.pdf - page 2;Coverage A;50000;This claim is Covered under Coverage A - Dwelling up to the policy limit of $50,000. Coverage applies pursuant to Section I ñ Perils Insured Against, Peril 12 ìAccidental Discharge Or Overflow Of Water Or Steamî of the HO 00 06 05 11 Homeowners 6 Unit-Owners Form (page 9), which insures sudden and accidental discharge of water from within a plumbing system on the residence premises. In addition, the Exception to Exclusion c.(6) in the HO 17 32 02 17 Unit-Owners Coverage A Special Coverage Form (page 4) expressly extends coverage to ensuing damage to the dwelling arising from such accidental plumbing discharges. No exclusions for sump pump, sewer backup or groundwater apply, as the source here is a standard household plumbing fixture.;TRUE
HO10023725;Water Damage: We discovered a hole in the wall above the basement door, and also discovered that the basement door no longer closes. When we looked in the attic, we found what looks to be a very wet decayed mouse at that spot.;2023-06-29T15:48:45.304000;water damage;;Wall above the basement door and the attic space;FALSE;The claim description indicates potential water damage through a hole in the wall above the basement door and that the basement door no longer closes, but it lacks a definitive source of water. Additionally, while a very wet decayed mouse was found in the attic, it does not explicitly clarify whether this is related to the water damage or suggests a separate issue. Therefore, without identifying how the water entered or confirming the extent of further damages, such as impact on personal property or additional structural issues, it is insufficient to proceed with the claim at this point.;;;;;;
HO10023772;Water Damage due to Plumbing System: There is a water leaking from one of the pipes on the Boiler/laundry Room and it's leaking to the Basement.;2023-07-01T10:51:14.131000;water damage due to plumbing system;basement;Basement;TRUE;The claim description clearly articulates that water is leaking from a pipe in the Boiler/laundry Room, which is directly causing damage in the Basement. The description specifies the source of the water damage, fulfilling the need for an identified origin of the leak, as well as detailing the affected area where damage is occurring. This comprehensive provision of information aligns with accepted standards for valid claims, firmly indicating that there is adequate information to proceed with the claim.;Unit-Owners-Coverage-A_HO1732_201702.pdf, Homeowner-6-Unit-Owners-Form_HO0006_201105.pdf;Unit-Owners-Coverage-A_HO1732_201702.pdf - page 2, Homeowner-6-Unit-Owners-Form_HO0006_201105.pdf - page 10;Coverage A;100000;This claim is Covered under Coverage A - Dwelling up to the policy limit of $100,000. Under HO 17 32 02 17 Unit-Owners Coverage A Special Coverage Form, Section I Exclusions Exception to c.(6), page 2, the policy ìcovers loss to property covered under Coverage A resulting from an accidental discharge or overflow of water or steam from within a plumbing, heating, air conditioning or automatic fire protective sprinkler system on the ëresidence premises,íî and expressly states that the general Water Exclusion in Section I Exclusion 3.a. and c. does not apply to losses covered under c.(6). Further, HO 00 06 05 11 Homeowners 6 Unit-Owners Form, Section I ñ Peril 12 ìAccidental Discharge Or Overflow Of Water Or Steam,î page 10, defines accidental discharge or overflow from within a plumbing system as an insured peril and confirms that Section I water exclusions do not apply to this peril.;TRUE
HO10023780;Water Damage due to Plumbing System: Toilet pipes in basement leaking;2023-07-01T15:31:24.499000;water damage due to plumbing system;;basement;TRUE;The claim description states, 'Water Damage due to Plumbing System: Toilet pipes in basement leaking.' This clearly identifies the source of water as the leaking toilet pipes, and it specifies the affected area as the basement. All five decisions consistently affirm that the information provided is sufficient to proceed with the claim, as it meets both criteria of identifying the source of water and the location of the resulting damage.;Homeowners-3-Special-Form_HO0003_201105.pdf;Homeowners-3-Special-Form_HO0003_201105.pdf - page 11;Coverage A;491700;This claim is Covered under Coverage A - Dwelling up to the policy limit of $491,700. Under HO 00 03 05 11 Homeowners 3 Special Form, Section I ñ Perils Insured Against, Peril 12 ìAccidental Discharge Or Overflow Of Water Or Steamî (page 11) provides coverage for sudden and accidental leaks from household plumbing systems, including toilet pipes in the basement. Section I ñ Exclusion A.3 ìWaterî (page 11) expressly states that exclusions for surface water and water below the surface of the ground do not apply to losses covered under Peril 12, thereby ensuring the internal plumbing leak is insured.;TRUE
HO10023875;Water Damage: Our insured it is reporting that the water it is coming from the ceilling down to the windows and it is damaging the windows;2023-07-05T13:37:43.485000;water damage;windows;ceiling and windows;TRUE;The claim description states that water is coming from the ceiling down to the windows, which identifies both the source of water (the ceiling) and what is being damaged (the windows). This clear articulation of the source and the affected property aligns with the requirements for sufficient detail to proceed with a claim assessment.;Homeowners-3-Special-Form_HO0003_201105.pdf;Homeowners-3-Special-Form_HO0003_201105.pdf - page 3, Homeowners-3-Special-Form_HO0003_201105.pdf - page 13;Coverage A;212363;"This claim is Covered under Coverage A - Dwelling up to the policy limit of $212,363. Under HO 00 03 05 11 Homeowners 3 Special Form, Section I ñ Property Coverages, Coverage A insures against direct physical loss to the dwelling, including ceilings and windows (Section I ñ Property Coverages, Coverage A, p. 3). Section I ñ Exclusions, A.3 (Water) excludes only flood, surface water, sewer or drain backups, sump pump discharge, and water below the ground (p. 13); it does not exclude water intrusion from above the ceiling. Therefore, water entering from the ceiling and damaging the windows is covered under Coverage A.";TRUE
HO10023914;Water Damage: Discovered water in front of fridge and around the island that ran though the wall and the insulation into the basement. Shut off the main water supply and used a dry vac and towels to soak up the water. Damage to the walls and hard wood floors.;2023-07-06T11:28:13.175000;water damage;walls, hardwood floors;Kitchen (in front of fridge and around the island) and basement;TRUE;The claim describes water damage resulting from water discovered in front of the fridge and around the island, indicating a source of water. The description clearly states that this water has affected the walls and hardwood floors, detailing that it traveled through the wall and insulation into the basement. This adequately identifies both the source of the water and the resulting damage to the property, thereby satisfying the criteria for proceeding with the claim.;Homeowner-6-Unit-Owners-Form_HO0006_201105.pdf, Unit-Owners-Coverage-A_HO1732_201702.pdf;Homeowner-6-Unit-Owners-Form_HO0006_201105.pdf - page 9, Unit-Owners-Coverage-A_HO1732_201702.pdf - page 2;Coverage A;25000;This claim is Covered under Coverage A ñ Dwelling up to the $25,000 limit. The water damage resulted from an accidental discharge of water from within a household appliance (the refrigeratorís water supply line), which is a covered peril under HO 00 06 05 11 Homeowners 6 Unit-Owners Form, Section I ñ Peril 12 ìAccidental Discharge or Overflow of Water or Steamî (page 9). Furthermore, HO 17 32 02 17 Unit-Owners Coverage A, Special Coverage Form, Exception to c.(6) (page 2) expressly removes the water exclusion for losses from accidental discharge or overflow of water from a household appliance on the residence premises, ensuring coverage for the resulting damage to interior walls and hardwood floors.;TRUE
HO10023925;Water Damage: WATER CONNECTION FROM STREET BROKE FLOODING BASEMENT;2023-07-06T15:30:39.378000;water damage due to plumbing system;basement;basement;TRUE;The claim description indicates 'WATER CONNECTION FROM STREET BROKE FLOODING BASEMENT', which clearly identifies the source of water as the broken water connection from the street and specifies the area impacted as the flooding of the basement. This meets the requirement for sufficient detail as it provides both the source of the water and the resulting damage, allowing for a valid claim description to proceed.;Homeowners-3-Special-Form_HO0003_201105.pdf;Homeowners-3-Special-Form_HO0003_201105.pdf - page 10, Homeowners-3-Special-Form_HO0003_201105.pdf - page 13;Coverage A, Coverage C;851498;This claim is Covered under Coverage A - Dwelling up to the policy limit of $500,881 and under Coverage C - Personal Property up to the policy limit of $350,617 per HO 00 03 05 11 Homeowners 3 Special Form Section I ñ Perils Insured Against, Exception to Exclusion c.(6) (page 10). The broken street water connection is an accidental discharge of water from a water pipe off the residence premises, which the policy expressly insures. Furthermore, Section I ñ Exclusions A.3, paragraphs a. and c. (page 13) explicitly do not apply to losses covered under c.(6), so the general exclusion for water below the surface does not bar coverage for this loss.;TRUE
HO10023931;Water Damage: ORASON returned from vacation and was putting his items in the basement when he noticed mold on the paneling beside the couch and he then pulled the couch back and realized the wall was moist and there is mold to the paneling;2023-07-06T16:56:38.819000;water damage;paneling;basement;FALSE;The claim description indicates the presence of water damage through observations of mold and moisture in the basement. However, it lacks critical information regarding the source of the water that caused this damage, which is essential for validating a water damage claim. The decisions uniformly highlight this missing element, with emphasis on the importance of identifying the source of water intrusion to substantiate claims. For a water damage claim to be adequate, it should clearly articulate how the water manifestedósuch as through leaks, flooding, or other meansóand specifically what was damaged. In this case, the vague indication of mold and moisture does not suffice to meet the necessary claim requirements.;;;;;;
HO10023962;Water Damage: WATER DAMAGE TO THE LIVING ROOM CEILING. AIR CONDITIONING PIPE CAUSED A WATER LEAK;2023-07-07T15:18:54.986000;water damages due to appliance failure;living room ceiling;living room;TRUE;The claim description communicates that there is water damage to the living room ceiling as a result of a leak from an air conditioning pipe. This description succinctly conveys both the source of the water (air conditioning pipe) and the area affected (living room ceiling). Such clarity meets the standard requirements for a valid claim description as it enables an understanding of both the cause and the impact of the incident. The evidence consistently supports the claim as having sufficient detail to warrant further processing.;Homeowners-3-Special-Form_HO0003_201105.pdf;Homeowners-3-Special-Form_HO0003_201105.pdf - page 11, Homeowners-3-Special-Form_HO0003_201105.pdf - page 13;Coverage A;520000;This claim is Covered under Coverage A ñ Dwelling up to the policy limit of $520,000 per HO 00 03 05 11 Homeowners 3 Special Form. Section I ñ Perils Insured Against, Peril 12 ìAccidental Discharge Or Overflow Of Water Or Steamî (page 11) expressly insures sudden and accidental discharge of water from an air conditioning system. Furthermore, Section I ñ Exclusion A.3. Water (page 13) clarifies that the general water exclusion for surface water or groundwater does not apply to losses covered under Peril 12, confirming that the interior AC pipe leak is insured.;TRUE
HO10024012;Water Damage due to Plumbing System: Hot water heater rotted out (2 months post-warranty) dripped onto attic space, which seeped thru the ceiling to damage ceiling and walls in bathroom;2023-07-10T12:07:11.687000;water damage due to plumbing system;ceiling, walls;bathroom;TRUE;The claim description details water damage stemming from a hot water heater that rotted out, which leaked into the attic and subsequently caused damage to the bathroom's ceiling and walls. This narrative encompasses both the source of the water and the affected areas, confirming its sufficiency for proceeding with the claim. The clear identification of the water source (the hot water heater) and the specific locations of damage (attic, ceiling, and walls) aligns perfectly with the standards outlined for valid claim descriptions.;Homeowner-6-Unit-Owners-Form_HO0006_201105.pdf, Unit-Owners-Coverage-A_HO1732_201702.pdf;Homeowner-6-Unit-Owners-Form_HO0006_201105.pdf - page 9, Homeowner-6-Unit-Owners-Form_HO0006_201105.pdf - page 10, Unit-Owners-Coverage-A_HO1732_201702.pdf - page 2;Coverage A;30000;This claim is Covered under Coverage A ñ Dwelling up to the policy limit of $30,000.  Under the Homeowners 6 Unit-Owners Form HO 00 06 05 11, Section I ñ Perils Insured Against, Peril 12.a. ìAccidental Discharge Or Overflow Of Water Or Steamî (page 9) insures the accidental discharge of water from within a household appliance.  The Unit-Owners Coverage A Special Coverage Form HO 17 32 02 17, Exception to Exclusion c.(6) (page 2) expressly covers ensuing loss to Coverage A property resulting from such an accidental discharge, even if the appliance failed due to corrosion, while excluding loss to the appliance itself.  Section I ñ Exclusions, Water, Paragraphs a. and c. in HO 00 06 05 11 (page 10) do not apply to losses covered under Peril 12, confirming the hot water heater leak is not excluded.;TRUE
